Voltage,Angle
1.0610407049890558,182
1.0604842400314078,182
1.0602253168866143,182
1.0616687807546146,182
1.0607764836851223,182
1.0607764836851223,182
1.0648068606420127,183
1.0610407049890558,183
1.0601048399473416,183
1.0601048399473416,183
1.0601048399473416,183
1.0521877391773948,183
1.0521877391773948,183
1.0521877391773948,183
1.0558206544797593,183
1.0580553505294321,183
1.0590951546013447,183
1.0649259754360059,183
1.0616687807546146,183
1.0550142978586874,183
1.0523331527936473,183
1.056432615994884,183
1.0583400962224196,183
1.0583400962224196,183
1.0592276467722919,183
1.0596406240431475,183
1.0598327823672766,183
1.059922193635494,183
1.0599637966985953,183
1.0599831546038565,183
1.0599831546038565,183
1.0653391618371746,183
1.0602698209753574,183
1.0602698209753574,183
1.060125547699834,183
1.0600584173447327,183
1.0600271815905042,183
1.0648068606420127,184
1.0617189093867894,184
1.060799808537673,184
1.0603721509125794,184
1.0601731618196233,184
1.060080572194671,184
1.060080572194671,184
1.0626784068699655,184
1.061246262716595,184
1.0605798860420317,184
1.0653596475940617,184
1.0649259754360059,185
1.075077972823156,185
1.0678313120028373,185
1.0647878899457948,185
1.0622278051917784,185
1.0610365977557346,185
1.0604823289357435,185
1.0655714276538015,185
1.0636941959741872,185
1.0600374902421805,185
1.0653644442096866,185
1.0678430758907673,185
1.0657563010315183,185
1.0689909094749201,186
1.0647878899457948,186
1.067939385287314,186
1.0636941959741872,186
1.068996383211974,186
1.0653596475940617,186
1.073187844025517,186
1.0706830229066227,187
1.0703178105584517,187
1.0701478772528477,187
1.0676390563703735,187
1.0723711606093236,187
1.0723711606093236,187
1.071467919421067,188
1.0706830229066227,188
1.07006880728575,188
1.0822021701392004,188
1.07033066976577,188
1.1049459075953525,188
1.0809133308041177,188
1.0748774701786803,188
1.07761648687414,188
1.082114547331622,188
1.0702898988734038,188
1.0748800171085315,188
1.0990056719605998,188
1.0990056719605998,188
1.0750959823969986,188
1.073187844025517,188
1.0845714596751965,189
1.0767801001868689,189
1.0731547806169501,189
1.0895849513425375,189
1.0753790160300596,190
1.0753790160300596,190
1.0753790160300596,190
1.0778498561587868,190
1.079534485064289,190
1.0744363959004137,190
1.0895849513425375,190
1.082114547331622,190
1.080952036099288,190
1.101316268375664,191
1.0778498561587868,191
1.0774112550124626,191
1.0787954569572988,191
1.0787954569572988,191
1.0962243071979376,191
1.0795954529291347,191
1.0795954529291347,191
1.0901335261222311,192
1.109094305328309,192
1.0935375802692624,192
1.1005769942654555,193
1.1005769942654555,193
1.1002684754317165,193
1.1001249216183777,193
1.098842365496494,193
1.0994613526655188,193
1.0997493673952659,193
1.0998833806490174,193
1.0998833806490174,193
1.0999457370159877,193
1.099974751433539,193
1.0999882518420256,193
1.0999945335820946,193
1.0940543563200231,193
1.0918864919957068,193
1.0908777847256024,193
1.1026650501866064,194
1.101240047851828,194
1.1000581260290312,194
1.1000270460413082,194
