tempo,forca
5.756,7.464000
5.784,7.489000
5.806,7.515000
5.828,7.541000
5.844,7.570000
5.856,7.597000
5.868,7.624000
5.952,7.652000
5.962,7.681000
5.970,7.707000
5.978,7.732000
5.988,7.758000
6.006,7.784000
6.048,7.809000
6.140,7.835000
6.236,7.861000
6.250,7.888000
6.300,7.862000
6.320,7.836000
6.334,7.808000
6.344,7.779000
6.354,7.748000
6.364,7.722000
6.422,7.749000
6.436,7.776000
6.454,7.803000
6.554,7.814000
6.574,7.786000
6.590,7.759000
6.640,7.732000
6.686,7.758000
6.744,7.786000
6.756,7.812000
6.766,7.840000
6.778,7.869000
6.822,7.894000
6.852,7.922000
6.872,7.949000
6.956,7.976000
6.966,8.002000
6.978,8.031000
7.016,8.057000
7.036,8.082000
7.054,8.107000
7.114,8.133000
7.214,8.126000
7.248,8.151000
7.260,8.177000
7.272,8.203000
7.284,8.231000
7.296,8.260000
7.312,8.286000
7.334,8.258000
7.342,8.230000
7.350,8.198000
7.356,8.172000
7.362,8.145000
7.368,8.120000
7.376,8.091000
7.386,8.062000
7.402,8.036000
7.420,8.010000
7.436,7.981000
7.454,7.955000
7.554,7.928000
7.572,7.899000
7.584,7.872000
7.594,7.841000
7.600,7.816000
7.606,7.782000
7.610,7.754000
7.614,7.721000
7.618,7.682000
7.622,7.635000
7.624,7.609000
7.626,7.580000
7.628,7.550000
7.630,7.517000
7.632,7.482000
7.634,7.445000
7.636,7.405000
7.638,7.362000
7.640,7.317000
7.642,7.268000
7.644,7.218000
7.646,7.164000
7.648,7.108000
7.650,7.049000
7.652,6.987000
7.654,6.923000
7.656,6.856000
7.658,6.788000
7.660,6.717000
7.662,6.645000
7.664,6.570000
7.666,6.494000
7.668,6.416000
7.670,6.337000
7.672,6.257000
7.674,6.175000
7.676,6.092000
7.678,6.008000
7.680,5.923000
7.682,5.837000
7.684,5.750000
7.686,5.662000
7.688,5.572000
7.690,5.482000
7.692,5.390000
7.694,5.297000
7.696,5.203000
7.698,5.107000
7.700,5.010000
7.702,4.911000
7.704,4.811000
7.706,4.709000
7.708,4.605000
7.710,4.500000
7.712,4.394000
7.714,4.287000
7.716,4.178000
7.718,4.069000
7.720,3.959000
7.722,3.848000
7.724,3.737000
7.726,3.626000
7.728,3.515000
7.730,3.404000
7.732,3.293000
7.734,3.184000
7.736,3.075000
7.738,2.967000
7.740,2.861000
7.742,2.756000
7.744,2.653000
7.746,2.552000
7.748,2.452000
7.750,2.355000
7.752,2.260000
7.754,2.168000
7.756,2.078000
7.758,1.992000
7.760,1.908000
7.762,1.827000
7.764,1.749000
7.766,1.674000
7.768,1.602000
7.770,1.533000
7.772,1.467000
7.774,1.403000
7.776,1.343000
7.778,1.285000
7.780,1.230000
7.782,1.176000
7.784,1.125000
7.786,1.075000
7.788,1.029000
7.790,0.984000
7.792,0.940000
7.794,0.898000
7.796,0.858000
7.798,0.818000
7.800,0.781000
7.802,0.744000
7.804,0.709000
7.806,0.675000
7.808,0.643000
7.810,0.612000
7.812,0.581000
7.814,0.552000
7.816,0.524000
7.818,0.497000
7.820,0.470000
7.822,0.444000
7.824,0.418000
7.828,0.369000
7.832,0.323000
7.836,0.279000
7.840,0.237000
7.844,0.198000
7.848,0.162000
7.852,0.130000
7.856,0.101000
7.860,0.076000
7.866,0.045000
7.874,0.016000
7.890,0.009000
7.990,0.000000
8.090,0.000000
8.190,0.000000
8.290,0.000000
8.390,0.000000
8.490,0.000000
8.590,0.000000
8.690,0.000000
8.790,0.000000
8.890,0.000000
8.990,0.000000
9.090,0.000000
9.190,0.000000
9.290,0.000000
9.390,0.000000
9.490,0.000000
9.590,0.000000
9.690,0.000000
9.790,0.000000
9.890,0.000000
9.990,0.000000
10.090,0.000000
10.190,0.000000
10.290,0.000000
10.390,0.000000
10.490,0.000000
10.590,0.000000
10.690,0.000000
10.790,0.000000
10.890,0.000000
10.990,0.000000
11.090,0.000000
11.190,0.000000
11.290,0.000000
11.390,0.000000
11.490,0.000000
11.590,0.000000
11.690,0.000000
11.790,0.000000
11.890,0.000000
11.990,0.000000
12.090,0.000000
12.102,0.000000
