tempo,forca
35.5,2.983100
35.6,2.832000
35.7,2.754667
35.8,2.658250
35.9,2.658000
36.0,2.618333
36.1,2.620000
36.2,2.564333
36.3,2.493200
36.4,2.581333
36.5,2.624667
36.6,2.676000
36.7,2.592200
36.8,2.484667
36.9,2.516000
37.0,2.549000
37.1,2.440571
37.2,2.305667
37.3,2.368714
37.4,2.284400
37.5,2.177667
37.6,2.087750
37.7,2.024000
37.8,1.996000
37.9,2.060750
38.0,2.163429
38.1,2.035500
38.2,1.887200
38.3,1.870333
38.4,1.738125
38.5,1.613500
38.6,1.527000
38.7,1.402750
38.8,1.401500
38.9,1.362333
39.0,1.340500
39.1,1.300000
39.2,1.299000
39.3,1.260000
39.4,1.279500
39.5,1.266000
39.6,1.241000
39.7,1.229000
39.8,1.190000
39.9,1.192000
40.0,1.152500
40.1,1.042833
40.2,0.920667
40.3,0.841667
40.4,0.804000
40.5,0.768000
40.6,0.704000
40.7,0.569143
40.8,0.452000
40.9,0.399000
41.0,0.334000
41.1,0.368000
41.2,0.369000
41.3,0.344000
41.4,0.291333
41.5,0.282000
41.6,0.257000
41.7,0.243000
41.8,0.263500
41.9,0.212500
42.0,0.134500
42.1,0.082500
42.2,0.044000
42.3,0.023000
42.4,0.022000
42.5,0.013000
42.6,0.013000
42.7,0.018000
42.8,0.000000
42.9,0.000000
43.0,0.000000
43.1,0.000000
43.2,0.000000
43.3,0.000000
43.4,0.000000
43.5,0.000000
43.6,0.000000
43.7,0.000000
43.8,0.000000
43.9,0.000000
44.0,0.000000
44.1,0.000000
44.2,0.000000
44.3,0.000000
44.4,0.000000
44.5,0.000000
44.6,0.000000
44.7,0.000000
44.8,0.000000
44.9,0.000000
45.0,0.000000
45.1,0.000000
45.2,0.000000
45.3,0.000000
45.4,0.000000
45.5,0.000000
45.6,0.000000
45.7,0.000000
45.8,0.000000
45.9,0.000000
46.0,0.000000
46.1,0.000000
46.2,0.000000
46.3,0.000000
46.4,0.000000
46.5,0.000000
46.6,0.000000
46.7,0.000000
46.8,0.000000
46.9,0.000000
47.0,0.000000
47.1,0.000000
47.2,0.000000
47.3,0.000000
47.4,0.000000
47.5,0.000000
47.6,0.000000
47.7,0.000000
47.8,0.000000
47.9,0.000000
48.0,0.000000
48.1,0.000000
48.2,0.000000
48.3,0.000000
48.4,0.000000
48.5,0.000000
48.6,0.000000
