tempo,tensao
0.100,3.300000
0.200,3.300000
0.400,3.300000
0.500,3.300000
0.600,3.300000
0.800,3.300000
0.900,3.300000
1.000,3.300000
1.100,3.300000
1.200,3.300000
1.400,3.300000
1.500,3.282500
1.600,3.295625
1.700,3.053906
1.900,2.948477
2.000,2.874619
2.100,2.842310
2.200,3.043077
2.300,3.126539
2.400,3.256635
2.500,3.278317
2.600,3.294579
2.700,3.298645
2.900,3.269661
3.000,0.594958
3.100,0.248739
3.200,0.248739
3.300,0.154685
3.400,0.122342
3.500,0.083086
3.600,0.095771
3.700,0.326443
3.900,2.206611
4.000,3.163326
4.100,3.265832
4.300,3.282916
4.400,3.295729
4.500,2.214466
4.600,1.327233
4.800,2.099308
4.900,2.874914
5.000,1.498728
5.200,0.514682
5.300,0.276171
5.400,1.204043
5.500,2.776011
5.600,3.169003
5.800,3.267251
5.900,3.283625
6.000,3.295906
6.100,3.136477
6.300,3.184119
6.400,0.876765
6.500,1.919191
6.600,1.919191
6.700,1.862298
6.800,1.915574
6.900,2.666394
7.000,3.141598
7.200,3.141598
7.300,3.280200
7.400,3.295050
7.500,3.297525
7.600,3.299381
7.700,3.299691
7.800,3.274923
7.900,3.116231
8.000,2.930779
8.200,0.902695
8.300,0.433174
8.400,0.346587
8.500,0.291647
8.700,0.270412
8.800,0.215103
8.900,0.148776
9.000,0.139694
9.100,0.139847
9.200,0.137462
9.300,0.211865
9.400,0.255466
9.500,0.248867
9.700,0.234433
9.800,0.198608
9.900,0.192152
10.000,0.166076
10.100,0.148038
10.200,0.137010
10.300,0.236752
10.400,0.231688
10.600,0.255422
10.700,0.431928
10.800,0.325482
10.900,0.325482
11.000,0.337741
11.100,0.374435
11.200,0.233609
11.300,1.695902
