tempo,tensao
0.100,1.503362
0.200,1.783340
0.400,2.363335
0.500,2.962917
0.700,2.920729
0.800,2.700182
0.900,2.800046
1.000,2.587511
1.100,2.616878
1.200,1.796719
1.400,0.836680
1.500,0.596670
1.600,0.633335
1.700,0.375834
1.900,0.406458
2.000,0.554115
2.100,1.291029
2.200,3.048879
2.300,3.048879
2.400,3.237220
2.500,3.284305
2.600,3.292152
2.700,3.298038
2.900,3.299510
3.000,3.299877
3.100,3.299969
3.200,3.299985
3.300,3.299996
3.400,3.299999
3.500,3.090000
3.600,3.247500
3.700,3.293437
3.900,3.296719
4.000,3.299590
4.100,3.299795
4.300,3.299949
4.400,3.299987
4.500,3.299997
4.600,3.299999
4.700,3.300000
4.900,3.300000
5.000,3.300000
5.100,3.300000
5.200,3.300000
5.400,3.300000
5.500,3.300000
5.600,3.300000
5.700,3.300000
5.800,3.300000
5.900,3.300000
6.000,3.300000
6.100,3.300000
6.200,3.300000
6.400,3.300000
6.500,3.300000
6.600,3.300000
6.700,3.300000
6.800,3.300000
6.900,3.300000
7.000,3.300000
7.100,3.295000
7.300,3.299375
7.400,3.299844
7.500,3.299961
7.600,3.299980
7.800,3.297495
7.900,3.299374
8.000,3.202343
8.200,3.287793
8.300,3.293896
8.400,3.299237
8.500,3.254619
