tempo,tensao,forca
27.3,1.170794,2.323000
27.4,1.155198,2.407600
27.6,1.108800,2.243429
27.7,1.094700,2.448625
27.8,1.131175,2.489667
27.9,1.125587,2.502000
28.0,1.091397,2.462000
28.1,1.050349,2.354000
28.2,0.977587,2.258500
28.4,0.973794,2.194000
28.5,1.004224,2.227333
28.7,0.993556,2.029000
28.8,0.985889,2.002000
28.9,0.978972,2.041000
29.0,1.032243,2.109000
29.1,1.175561,1.959333
29.3,1.288890,1.806667
29.4,1.369723,1.703500
29.5,1.407431,1.707417
29.6,1.407431,1.711333
29.7,1.451858,1.736000
29.8,1.472964,1.706000
29.9,1.493241,1.692000
30.0,1.505810,1.679667
30.1,1.513953,1.785600
30.3,1.523488,2.561077
30.4,1.551686,2.885300
30.5,1.550843,3.108000
30.6,1.562711,3.258000
30.8,1.573178,3.441857
30.9,1.581589,3.571333
31.0,1.590397,3.572000
31.1,1.602599,3.657000
31.3,1.634075,3.827500
31.4,1.658519,3.867000
31.5,1.674630,3.905000
31.6,1.681157,3.946333
31.8,1.692789,3.998286
31.9,1.703197,3.983000
32.0,1.718299,4.023000
32.1,1.724150,4.049000
32.2,1.732075,4.116500
32.3,1.728019,4.237333
32.4,1.734009,4.359833
32.5,1.738502,4.515000
32.6,1.747126,4.661167
32.8,1.750891,4.763667
32.9,1.752723,4.875200
33.0,1.750681,4.919500
33.2,1.757670,5.047000
33.3,1.759418,5.154750
33.4,1.764709,5.144000
33.5,1.751177,5.249500
33.6,1.747794,5.355000
33.7,1.756949,5.368000
33.9,1.768369,5.391750
34.0,1.769592,5.361500
34.2,1.784898,5.294000
34.3,1.801225,5.332000
34.4,1.815306,5.397000
34.5,1.831327,5.474667
34.6,1.835663,5.555667
34.7,1.838916,5.516250
34.9,1.843614,5.695400
35.0,1.850904,5.721000
35.2,1.855452,5.761571
35.3,1.866363,5.839000
35.4,1.863295,5.909250
35.5,1.865824,6.007667
35.7,1.876456,6.084000
35.8,1.881614,6.073000
35.9,1.885807,6.083000
36.0,1.881452,6.055000
36.1,1.877863,6.051000
36.3,1.869466,6.113000
36.4,1.877366,6.141000
36.5,1.889342,6.166000
36.7,1.892418,6.141000
36.8,1.885604,6.219250
36.9,1.881401,6.271500
37.0,1.885350,6.233000
37.2,1.892675,6.180000
37.3,1.898169,6.139500
37.4,1.899542,6.052400
37.5,1.897386,6.157200
37.6,1.898693,6.265250
37.7,1.899346,6.265667
37.8,1.907337,6.316750
37.9,1.911834,6.251500
38.0,1.917959,6.239667
38.1,1.921990,6.188000
38.3,1.920249,6.348000
38.4,1.920249,6.347667
38.5,1.927562,6.400500
38.6,1.921891,6.348000
38.7,1.927973,6.390500
38.8,1.939493,6.395000
39.0,1.929873,6.669500
39.1,1.927484,6.665000
39.2,1.933742,6.719500
39.3,1.935936,6.650667
39.5,1.938984,6.598333
39.6,1.939746,6.663500
39.7,1.934873,6.728000
39.8,1.941218,6.766500
39.9,1.945305,6.791500
40.0,1.941326,6.766500
40.2,1.940332,6.683000
40.3,1.953791,6.685000
40.4,1.956896,6.760400
40.5,1.959224,6.733200
40.7,1.964806,6.701333
40.8,1.968701,6.733333
40.9,1.969351,6.727400
41.0,1.972338,6.809500
41.2,1.977792,6.961250
41.3,1.984448,6.965333
41.4,1.991112,7.090833
41.5,1.995278,7.186000
41.7,1.991320,7.209000
41.8,1.995330,7.145667
41.9,2.003832,7.139000
42.0,2.008458,7.205500
42.1,2.009229,7.286500
42.2,2.009615,7.339000
42.3,2.014807,7.412400
42.4,2.016202,7.491000
42.5,2.014050,7.481000
42.7,2.018513,7.672800
42.8,2.019628,7.724000
42.9,2.023704,7.602167
43.1,2.020926,7.706333
43.2,2.028866,7.684500
43.4,2.034716,7.788400
43.5,2.033679,7.809500
43.7,2.030460,7.899667
43.8,2.037615,7.871667
44.0,2.039404,7.823000
44.1,2.047351,7.882667
44.2,2.056838,7.760429
44.3,2.053419,7.810750
44.4,2.053355,7.937750
44.5,2.068339,7.949500
44.6,2.069585,7.963333
44.7,2.074792,7.977000
44.8,2.073698,8.057500
45.0,2.070925,8.176200
45.1,2.076366,8.229333
45.2,2.076591,8.223000
45.4,2.078296,8.355000
45.5,2.074574,8.311750
45.6,2.073643,8.298400
45.7,2.078411,8.446333
45.8,2.079801,8.563400
46.0,2.079801,8.593667
46.1,2.088725,8.621400
46.2,2.082181,8.599000
46.4,2.085545,8.585500
46.5,2.094443,8.559250
46.6,2.092222,8.466333
46.7,2.098055,8.455500
46.8,2.094028,8.493333
46.9,2.096007,8.497000
47.0,2.099002,8.562667
47.2,2.099750,8.585000
47.3,2.099938,8.585000
47.4,2.107484,8.598750
47.5,2.108742,8.677000
47.6,2.104371,8.691667
47.7,2.108593,8.761500
47.8,2.112148,8.750000
47.9,2.108037,8.782000
48.0,2.109509,8.776333
48.2,2.109877,8.828000
48.3,2.109985,8.878333
48.4,2.109992,8.973500
48.6,2.109998,9.195500
48.7,2.105000,9.156000
48.8,2.108750,9.141000
48.9,2.112187,9.088500
49.1,2.118047,9.175667
49.2,2.128506,9.162000
49.3,2.129253,9.156500
49.4,2.129813,9.151000
49.5,2.129953,9.180400
49.7,2.134988,8.961000
49.8,2.142494,9.000333
49.9,2.140312,9.053750
50.0,2.140312,9.131429
50.1,2.140078,9.254500
50.2,2.140019,9.351000
50.3,2.142505,9.328250
50.4,2.140626,9.373667
50.6,2.140157,9.469333
50.7,2.145039,9.571333
50.8,2.148760,9.588250
50.9,2.149380,9.618857
51.0,2.144690,9.534000
51.1,2.148672,9.606167
51.2,2.134668,9.598800
51.3,2.127334,9.580000
51.4,2.122167,9.615000
51.6,2.105542,9.536400
51.7,2.094443,9.460000
51.8,2.087221,9.538000
51.9,2.076805,9.557000
52.1,2.066701,9.498143
52.2,2.049175,9.396667
52.3,2.044588,9.235200
52.4,2.033647,9.043750
52.6,2.026706,8.997000
52.7,2.021676,8.713467
52.8,2.017919,8.492000
52.9,2.021980,8.492875
53.1,2.020495,8.136750
53.2,2.020124,8.042000
53.3,2.020031,7.897375
53.4,2.007508,7.723400
53.5,2.007508,7.605667
53.6,2.009377,7.534500
53.7,2.009688,7.494000
53.8,2.004922,7.409200
53.9,2.001231,7.328000
54.1,2.005154,7.431400
54.2,2.003788,7.321333
54.3,1.998447,7.332000
54.4,1.998447,7.387500
54.5,1.987112,7.300000
54.6,1.959278,7.160071
54.7,1.932319,7.299500
54.8,1.926160,7.284750
55.0,1.902020,7.106444
55.1,1.908005,7.148000
55.2,1.862001,7.227667
55.3,1.833000,7.175000
55.5,1.840750,6.984333
55.6,1.867688,6.897545
55.7,1.889422,6.752833
55.8,1.899855,6.772667
55.9,1.899928,6.594143
56.0,1.899964,6.417333
56.1,1.909991,6.202583
56.2,1.914998,6.344857
56.4,1.918749,5.836750
56.5,1.934687,5.908800
