Voltage,Angle
1.094567360850764,181
1.0921251930038605,181
1.0921251930038605,181
1.0909888523046964,181
1.0841010221549905,181
1.0841010221549905,181
1.087255205608717,181
1.088722847169736,181
1.0998159485294732,182
1.0904601129773752,182
1.0902140905683728,182
1.095446616341464,182
1.0894057407880782,182
1.0897234911886928,182
1.0898713404500988,182
1.095287134711431,182
1.099149893794031,183
1.0996044455823626,183
1.0978813105836833,183
1.0989420077698786,183
1.0888137162153244,183
1.0822538986351353,183
1.0822538986351353,183
1.0810487390349284,183
1.0810487390349284,183
1.0804879782729522,183
1.0855740562904046,183
1.0879406083919254,183
1.083694765084763,183
1.0870661741939402,183
1.0886348908524406,183
1.1080372692116622,184
1.1037397413641865,184
1.1017401016567558,184
1.1008096693008884,184
1.1006722849408215,184
1.1003128141829643,184
1.1001455524393333,184
1.090410420584365,184
1.090410420584365,184
1.0848439686979052,184
1.0893648147136408,184
1.0950514482862572,184
1.1057817949960507,185
1.1057817949960507,185
1.1008096693008884,185
1.1003767391257036,185
1.1003767391257036,185
1.1001752967151899,185
1.0978813105836833,185
1.109708173814588,185
1.1066735086169106,185
1.1031051835594485,185
1.1014448419102114,185
1.1006722849408215,185
1.100067725550022,185
1.1000315126984253,185
1.1000146628585772,185
1.100006822628096,185
1.1124259509908674,186
1.1054285655615779,186
1.109664504178016,186
1.1092177257035862,186
1.095287134711431,186
1.100006822628096,186
1.1106971745688532,186
1.1023735666975392,186
1.0950514482862572,186
1.1137384388875955,186
1.1143423782869342,187
1.1210183953268875,187
1.1152137352049587,188
1.109664504178016,188
1.163334213275928,188
1.1282108422559332,189
1.1238205049016858,189
1.1225899520187292,189
1.1212051046743148,189
1.1239139115558021,189
1.1400588559105613,189
1.1207704796432751,189
1.1207704796432751,189
1.130056795633441,189
1.11933242700824,189
1.1365148593456007,189
1.1316964199166768,190
1.1238205049016858,190
1.1271246809307542,190
1.1271246809307542,190
1.125566198191982,190
1.1207974087710157,190
1.1150240343011535,190
1.1336458627050865,191
1.1316964199166768,191
1.1307893441872297,191
1.1307893441872297,191
1.125020281850318,191
1.127682937144953,191
1.1289218706535467,191
1.1294983464150952,191
1.1294983464150952,191
1.129766580586944,191
1.129891389947105,191
1.129949463742388,191
1.129976485479333,191
1.1299890586935337,191
1.1299890586935337,191
1.1299890586935337,191
1.1299976311624,191
1.1299988977798647,191
1.1299988977798647,191
1.1353467613648327,191
1.1485288480630567,191
