tempo,tensao,forca
25.0,3.181232,1.949000
25.1,3.200308,1.975000
25.2,3.205077,2.002000
25.3,3.207539,2.014000
25.4,3.207539,2.053500
25.5,3.210942,2.118667
25.6,3.210236,2.234833
25.7,3.210059,2.368250
25.9,3.207507,2.382500
26.1,3.209377,2.244000
26.2,3.219961,2.255000
26.4,3.212490,2.311000
26.5,3.213123,2.285000
26.6,3.213123,2.264000
26.7,3.211561,2.226500
26.8,3.215098,2.189000
27.0,3.216274,2.186000
27.1,3.211569,2.174000
27.2,3.210392,2.190000
27.3,3.210098,2.240667
27.5,3.212525,2.318000
27.6,3.210631,2.291000
27.7,3.210158,2.239000
27.8,3.215079,2.217000
28.0,3.215635,2.270000
28.1,3.216409,2.250000
28.2,3.216602,2.230000
28.3,3.211651,2.227000
28.5,3.220413,2.243000
28.6,3.217603,2.245000
28.7,3.226901,2.227000
28.8,3.216725,2.226000
28.9,3.218363,2.217000
29.0,3.219181,2.269333
29.1,3.219591,2.346667
29.2,3.212398,2.378000
29.3,3.210599,2.353000
29.5,3.212650,2.321000
29.6,3.213162,2.345000
29.7,3.210395,2.293333
29.9,3.210099,2.217000
30.0,3.217525,2.213000
30.1,3.211881,2.239000
30.2,3.217970,2.253000
30.3,3.218985,2.263000
30.4,3.219746,2.269000
30.6,3.224968,2.336667
30.7,3.228742,2.388000
30.8,3.234371,2.426000
31.0,3.238593,2.527500
31.1,3.239648,2.593000
31.2,3.244912,2.670333
31.3,3.244364,2.722000
31.5,3.248591,2.798000
31.6,3.244296,2.836000
31.7,3.248574,2.873000
31.8,3.247143,2.895000
32.0,3.244286,2.935000
32.1,3.248571,2.935000
32.2,3.252143,2.955000
32.3,3.250536,2.965000
32.4,3.255268,2.969500
32.5,3.256317,2.932000
32.6,3.254079,2.905000
32.7,3.257040,2.958600
32.8,3.254260,3.039000
33.0,3.253565,3.107000
33.1,3.253391,3.110000
33.2,3.250848,3.071500
33.3,3.250424,3.020000
33.4,3.255212,2.968500
33.5,3.258803,2.960000
33.6,3.259701,2.941000
33.7,3.259925,2.952000
33.8,3.262481,2.970000
34.0,3.260620,3.047000
34.1,3.262655,3.072000
34.2,3.260664,3.077000
34.3,3.260166,3.085000
34.5,3.265041,3.095000
34.6,3.263760,3.113000
34.7,3.265940,3.130000
34.8,3.266485,3.168000
35.0,3.260811,3.210000
35.1,3.260203,3.214000
35.2,3.265101,3.188000
35.3,3.263775,3.167000
35.5,3.266888,3.163000
35.6,3.254222,3.158000
35.7,3.253028,3.123500
35.8,3.245757,3.085000
35.9,3.245757,3.045500
36.0,3.238939,2.994000
36.1,3.247235,2.943500
36.2,3.251809,2.880000
36.3,3.250452,2.789250
36.4,3.257613,2.697333
36.6,3.259403,2.666667
36.7,3.259851,2.730000
36.9,3.259963,2.874000
37.0,3.254991,2.938500
37.1,3.257495,2.977000
37.2,3.264687,2.983000
37.3,3.261172,2.983000
37.5,3.262793,2.999000
37.6,3.264099,3.008000
37.7,3.262050,3.003000
37.8,3.260512,2.993000
38.0,3.260256,3.032000
38.1,3.260064,3.028000
38.2,3.260016,3.010000
38.3,3.270004,2.981500
38.5,3.266251,2.910000
38.6,3.274063,2.930000
