tempo,tensao
0.100,3.300000
0.200,3.300000
0.400,3.300000
0.500,3.300000
0.600,3.300000
0.900,3.300000
1.000,3.300000
1.100,3.300000
1.200,3.230000
1.400,2.052500
1.500,2.505625
1.600,1.998906
1.800,2.782227
1.900,3.170557
2.000,3.235278
2.100,2.657639
2.300,0.622352
2.400,0.980588
2.500,2.720147
2.600,3.155037
2.700,3.227518
2.800,2.781880
2.900,2.450940
3.000,2.452735
3.200,2.490684
3.300,2.552671
3.400,2.508168
3.500,2.879542
3.600,2.879542
3.700,3.194885
3.800,3.273721
3.900,3.293430
4.000,2.638358
4.200,2.351045
4.300,1.655261
4.400,1.767631
4.600,2.249408
4.700,3.037352
4.800,3.234338
5.000,2.829292
5.100,2.514823
5.200,1.776206
5.300,1.786551
5.400,1.851638
5.600,1.920409
5.700,2.240205
5.800,2.142551
5.900,2.291276
6.000,2.350638
6.100,3.062659
6.200,3.240665
6.300,3.285166
6.400,3.296292
6.600,3.276573
6.700,1.554572
6.800,2.328643
6.900,2.649321
7.100,3.137330
7.200,2.204333
7.300,1.098583
7.400,0.987146
7.600,1.128393
7.700,1.457098
7.800,2.003549
7.900,2.535887
8.100,2.263972
8.200,2.358493
8.300,2.269246
8.400,1.984812
8.500,1.922406
8.600,1.896203
8.700,2.730775
8.800,2.907694
8.900,1.091923
9.100,0.565481
9.200,1.638870
9.300,2.469859
9.500,2.504929
9.600,2.512465
9.700,3.018116
9.800,2.324765
9.900,2.716191
10.100,2.536548
10.200,2.458318
10.300,2.414159
10.400,2.496040
10.600,2.431510
10.700,2.272877
10.800,2.271439
10.900,2.127860
11.100,2.015982
11.200,2.121496
11.300,2.250374
11.400,2.342593
11.600,2.456297
11.700,2.555787
11.800,2.426447
11.900,2.134112
12.000,2.134112
12.100,2.237056
12.200,2.631764
12.300,2.482941
12.400,2.265735
12.600,2.388934
12.700,2.012233
12.800,1.899029
13.000,1.637257
13.100,2.131814
13.200,2.972954
13.300,3.136477
13.400,3.259119
13.600,2.974780
13.700,2.283695
13.800,1.198424
13.900,1.214212
14.000,1.036053
14.100,0.853026
14.200,1.218257
14.300,2.834782
14.500,3.183696
14.600,3.270924
14.700,2.305231
14.800,2.682615
15.000,2.315654
15.100,1.283913
15.200,0.543478
15.300,0.287935
15.500,0.851984
15.600,1.112996
15.700,1.813249
15.900,2.281624
16.000,1.417906
16.100,0.651977
16.200,0.342994
16.300,0.353249
16.500,0.372906
16.600,0.790727
16.700,1.897682
16.800,0.846920
17.000,0.401730
17.100,0.401730
17.200,0.238966
17.300,0.232242
17.400,0.251121
17.500,0.457780
17.600,0.893890
17.700,2.600973
17.800,3.125243
18.000,1.713811
18.100,0.925953
18.200,0.451994
18.300,0.451994
18.400,0.365997
18.500,0.328999
18.600,0.794750
18.700,2.596187
18.800,3.124047
19.000,3.256012
19.100,3.094003
19.200,2.078000
19.400,1.904500
19.500,2.247250
19.600,1.173625
19.700,0.247953
19.800,0.391988
20.000,1.117997
20.100,1.744499
20.200,2.568625
20.300,3.117156
20.500,1.654289
20.600,0.636072
20.700,1.171518
20.800,1.535759
20.900,1.852880
21.000,0.550720
21.100,0.575180
21.200,2.008795
21.300,2.977199
21.500,3.219300
21.600,3.279825
21.700,3.294956
21.800,3.212478
21.900,2.538120
22.000,2.329060
22.100,2.639530
22.200,2.364882
22.300,2.026221
22.500,1.841555
22.600,2.967694
22.700,3.181924
22.900,3.155481
23.000,2.493870
23.100,1.908468
23.200,2.254617
23.300,2.397308
23.500,2.690914
23.600,1.200228
23.700,1.955114
23.800,2.018779
24.000,2.257195
24.100,3.011799
24.200,2.853975
