tempo,tensao
0.100,0.178935
0.200,0.187234
0.400,0.181808
0.500,0.182952
0.600,0.178238
0.700,0.174119
0.900,0.173382
1.000,0.171691
1.100,0.217923
1.200,0.196981
1.400,0.201745
1.500,0.197718
1.600,0.203859
1.800,0.210965
1.900,0.202741
2.000,0.217843
2.100,0.239461
2.300,0.267365
2.400,0.263683
2.500,0.255921
2.600,0.248980
2.800,0.249745
2.900,0.264936
3.000,0.283734
3.100,0.325934
3.200,0.332967
3.300,0.335742
3.400,0.381435
3.500,0.370359
3.600,0.365179
3.800,0.468795
3.900,0.579699
4.000,0.829925
4.100,0.824962
4.200,0.852481
4.300,0.850620
4.400,0.820155
4.500,0.725039
4.600,0.701260
4.800,0.742815
4.900,1.018204
5.000,1.234551
5.100,1.661138
5.300,1.750284
5.400,1.432571
5.500,1.313143
5.600,1.173286
5.800,1.066661
5.900,1.078330
6.000,1.559583
6.100,1.839791
6.300,2.507448
6.400,2.805931
6.500,2.338983
6.700,2.039746
6.800,1.757468
6.900,1.871867
7.000,1.895934
7.200,2.298983
7.300,3.049746
7.400,3.237436
7.600,3.192180
7.800,3.273045
7.900,3.183261
8.000,3.200408
8.200,3.275102
8.300,3.293775
8.500,3.299611
8.600,3.299805
8.700,3.299903
8.800,3.299976
9.000,3.299994
9.100,3.299998
9.200,3.300000
9.300,3.300000
9.400,3.300000
9.500,3.300000
9.600,3.300000
9.700,3.300000
9.800,3.300000
10.000,3.300000
10.100,3.300000
10.200,3.300000
10.300,3.300000
10.500,3.300000
10.600,3.300000
10.700,3.300000
10.800,3.300000
11.000,3.300000
11.100,3.300000
11.200,3.300000
11.300,3.300000
11.400,3.265000
11.600,3.291250
11.700,3.292813
11.800,3.298203
11.900,3.299551
12.100,1.674944
12.200,2.078736
12.300,2.994684
12.500,1.547342
12.600,2.423671
12.700,2.278418
12.800,3.172302
12.900,3.268076
13.100,3.201009
13.200,3.250505
13.300,1.127626
13.500,2.213813
13.600,2.866727
13.700,3.083363
13.800,3.245841
13.900,3.286460
14.000,3.293230
14.100,3.245808
14.200,3.226452
14.300,2.799113
14.400,0.802278
14.600,0.278070
14.700,0.157017
14.800,0.129254
14.900,0.124627
15.000,0.124627
15.100,0.126157
15.200,0.096539
15.300,0.184135
15.400,0.163534
15.600,0.220883
15.700,0.348860
15.800,0.382215
16.000,0.383054
16.100,0.445763
16.200,1.872882
