tempo,tensao
0.100,3.299949
0.300,3.299987
0.400,3.299997
0.500,3.299999
0.600,3.300000
0.700,3.300000
0.800,3.300000
0.900,3.300000
1.000,3.300000
1.100,3.300000
1.200,3.300000
1.400,3.300000
1.500,3.300000
1.600,3.300000
1.700,3.300000
1.800,3.300000
1.900,3.300000
2.000,3.300000
2.100,3.300000
2.300,3.300000
2.400,3.300000
2.500,3.300000
2.600,3.300000
2.700,3.300000
2.800,3.300000
2.900,3.300000
3.000,3.300000
3.200,3.300000
3.300,3.300000
3.400,3.300000
3.500,3.300000
3.700,3.300000
3.800,3.300000
3.900,3.300000
4.000,3.300000
4.200,3.300000
4.300,3.300000
4.400,3.300000
4.500,3.300000
4.600,3.300000
4.800,3.300000
4.900,3.300000
5.000,3.300000
5.100,3.300000
5.200,3.300000
5.300,3.300000
5.400,3.300000
5.500,3.300000
5.600,1.557500
5.800,1.006875
5.900,1.589219
6.000,1.762305
6.100,2.531152
6.200,3.107788
6.300,3.203894
6.400,3.275974
6.500,3.293993
6.700,2.993498
6.800,0.740437
6.900,0.765109
7.100,1.718777
7.200,1.319389
7.300,3.004924
7.400,3.226231
7.500,3.263115
7.700,3.290779
7.800,3.297695
7.900,3.299424
8.100,2.994856
8.200,1.158714
8.300,1.889678
8.400,2.083710
8.500,2.083710
8.600,2.175927
8.700,3.018982
8.800,3.159491
9.000,3.282436
9.100,3.295609
9.300,3.298902
9.400,2.072226
9.500,0.673056
9.600,1.620764
9.700,2.285191
9.800,2.526298
10.000,3.106574
10.100,3.251644
10.200,3.287911
10.400,3.296978
10.500,2.304244
10.600,0.701061
10.700,0.312765
10.900,1.566383
11.000,2.856649
11.100,3.189162
11.300,3.244581
11.400,3.272291
11.500,3.046536
11.600,1.584134
11.800,0.623534
11.900,0.239192
12.000,0.279596
12.100,1.494899
12.200,2.848725
12.400,3.187181
12.500,3.271795
12.600,3.285898
12.700,3.296474
12.900,3.299559
13.000,3.299890
13.100,1.284972
13.200,0.473743
13.400,0.260936
13.500,0.425234
13.600,2.088808
13.700,2.997202
13.800,2.997202
13.900,3.224301
14.000,3.262150
14.100,3.290538
14.200,3.297634
14.400,3.299409
14.500,3.299926
14.600,3.299982
14.700,3.299982
14.800,1.852495
14.900,1.250624
15.000,2.572656
15.100,2.936328
15.200,3.209082
15.400,2.222270
15.500,0.912784
15.600,1.723196
15.800,0.895799
15.900,0.662899
16.000,1.612862
16.100,1.091431
16.200,1.070179
16.400,2.185089
16.500,3.021272
16.600,3.230318
16.700,3.282580
16.900,3.265645
17.000,1.343911
17.100,1.285978
17.200,1.208994
17.300,1.139497
17.400,1.729874
17.500,1.267469
17.600,1.133734
17.800,2.288434
17.900,3.047108
18.000,3.141777
18.100,3.065889
18.200,2.033972
18.300,1.486986
18.400,1.209247
18.500,1.314812
18.700,1.226851
18.800,1.284213
18.900,1.217106
19.000,1.351777
19.200,0.895444
19.300,2.089431
19.400,2.694715
19.500,3.148679
19.600,3.262170
19.700,1.235542
19.900,0.526386
20.000,0.460798
20.200,0.380399
20.300,0.605100
20.400,0.316275
20.500,1.614069
20.600,0.982034
20.700,0.463009
20.800,0.876504
20.900,0.471626
21.000,0.510407
21.200,1.420102
21.300,2.383763
21.400,2.841881
21.600,3.185470
21.700,3.271368
21.800,3.292842
21.900,3.298210
22.000,3.299553
22.200,3.299944
22.300,3.299986
22.400,3.299997
22.500,3.299999
22.700,3.300000
22.800,3.300000
22.900,3.300000
23.000,3.300000
23.100,3.300000
23.200,3.300000
23.300,3.300000
23.400,3.300000
23.600,3.300000
23.700,3.300000
23.900,3.300000
24.000,3.300000
24.100,3.300000
24.300,3.300000
24.400,3.300000
24.500,3.300000
24.600,3.300000
24.800,3.300000
24.900,3.300000
25.000,3.300000
25.100,3.300000
25.200,3.300000
25.300,3.300000
25.400,3.300000
25.500,3.300000
25.600,3.300000
25.700,3.300000
25.900,3.300000
26.000,3.300000
26.100,3.300000
26.300,3.300000
26.400,3.300000
26.500,3.300000
26.600,1.900000
26.800,0.592500
26.900,0.235625
27.000,0.116953
27.100,0.123477
27.300,0.273369
27.400,0.335842
27.500,0.348961
27.600,0.382240
27.700,0.551120
27.900,0.305140
28.000,0.168785
28.100,0.162196
28.300,0.208049
28.400,0.217012
28.500,0.486753
28.600,1.336688
28.700,1.973344
28.800,2.968336
28.900,3.134168
29.000,3.258542
29.100,1.599636
29.300,0.769909
29.400,0.414977
29.500,0.296244
29.600,0.243122
29.700,0.316561
29.800,0.616640
29.900,1.544160
30.000,2.686040
30.200,3.146510
30.300,2.696628
30.400,1.753314
30.500,0.744164
30.700,0.738541
30.800,0.604635
30.900,0.841159
31.000,1.942790
31.200,2.960697
31.300,3.257587
31.400,3.278794
31.500,3.289397
31.600,1.792349
31.800,0.469044
31.900,0.434761
32.000,1.793690
32.200,3.086711
32.300,3.193356
32.400,3.273339
32.500,3.293335
32.700,3.298334
