tempo,tensao
0.100,0.000000
0.200,0.000000
0.400,0.000000
0.500,0.000000
0.700,0.000000
0.800,0.000000
0.900,0.000000
1.000,0.000000
1.100,0.000000
1.300,0.000000
1.400,0.000000
1.500,0.000000
1.600,0.000000
1.800,0.000000
1.900,0.000000
2.000,0.000000
2.100,0.000000
2.200,0.000000
2.300,0.000000
2.400,0.000000
2.500,0.000000
2.600,0.000000
2.700,0.000000
2.900,0.000000
3.000,0.000000
3.100,0.000000
3.200,0.000000
3.300,0.000000
3.400,0.000000
3.500,0.000000
3.600,0.275000
3.700,0.673750
3.900,0.973437
4.000,1.555859
4.200,1.308965
4.300,1.308965
4.400,0.261121
4.500,0.065280
4.600,0.423820
4.700,1.482978
4.900,1.758244
5.000,1.969561
5.100,2.162390
5.300,2.231195
5.400,2.165299
5.500,2.221325
5.600,2.090331
5.700,1.915083
5.800,1.797541
5.900,1.781885
6.000,1.760471
6.100,1.660236
6.300,1.921279
6.400,2.050320
6.500,2.060160
6.600,2.005040
6.700,1.952520
6.800,1.866260
6.900,1.684065
7.000,1.533516
7.100,0.998379
7.200,0.249595
7.400,0.062399
7.500,0.527800
7.700,1.649450
7.800,1.904725
7.900,2.063681
8.000,2.105920
8.100,2.148980
8.200,2.207245
8.400,2.194656
8.500,2.191164
8.600,2.095582
8.800,1.523895
8.900,0.648474
9.000,0.324237
9.100,0.081059
9.300,0.897632
9.400,1.433816
9.500,2.095477
9.600,2.006369
9.700,1.369092
9.900,1.144773
10.000,1.211193
10.100,1.505298
10.200,1.687649
10.300,1.873825
10.400,2.085956
10.500,2.142978
10.600,2.084122
10.800,1.943531
10.900,1.858383
11.000,1.966048
11.200,1.993024
11.300,1.968256
11.400,1.984564
11.500,1.947282
11.600,1.771820
11.800,1.852955
11.900,1.977869
12.000,1.979467
12.100,1.237367
12.300,0.309342
12.400,0.214835
12.500,0.083709
12.600,0.680927
12.700,1.155464
12.800,1.537732
12.900,1.904433
13.000,1.962216
13.100,2.033054
13.300,2.050764
13.400,1.962691
13.500,1.805673
13.600,1.799459
13.700,1.799459
13.800,1.854865
13.900,1.963716
14.000,1.981858
14.100,2.090465
14.300,2.350116
14.400,2.545029
14.500,2.601879
14.700,2.642970
14.800,2.666485
14.900,2.699121
15.000,2.734780
15.100,2.749348
15.200,2.769674
15.400,2.784918
15.500,2.766230
15.600,2.759057
15.800,2.782264
15.900,2.798066
16.000,2.819517
16.100,2.852379
16.300,2.900297
16.400,2.935074
16.500,2.937537
16.600,2.964384
16.700,2.983596
16.900,2.993399
17.000,3.010850
17.100,3.020425
17.200,3.025212
17.300,3.056303
17.400,3.081576
17.500,3.082894
17.600,3.085723
17.800,3.081431
17.900,3.080715
18.000,3.091339
18.200,3.102835
18.300,3.115709
18.400,3.118927
18.500,3.112232
18.600,3.118058
18.700,3.122014
18.900,3.134002
19.000,3.132001
19.100,3.136000
19.300,3.136500
19.400,3.133250
19.500,3.127906
19.600,3.132238
19.700,3.138060
19.800,3.138060
19.900,3.134515
20.000,3.126129
20.100,3.134032
20.300,3.136008
20.400,3.138004
20.500,3.142001
20.600,3.145500
20.700,3.152750
20.800,3.155688
20.900,3.138922
21.000,3.139461
21.100,3.142365
21.200,3.137796
21.400,3.146949
21.500,3.154237
21.700,3.152119
21.800,3.151059
21.900,3.153882
22.000,3.158471
22.100,3.154618
22.300,3.153654
22.400,3.156707
22.500,3.149177
22.600,3.149794
22.800,3.152449
22.900,3.161224
23.000,3.157806
23.100,3.171952
23.300,3.177744
23.400,3.179436
23.500,3.179718
23.600,3.184929
23.800,3.181232
23.900,3.200308
24.000,3.205077
24.100,3.207539
24.200,3.207539
24.300,3.210942
24.400,3.210236
24.500,3.210059
24.700,3.207507
24.900,3.209377
25.000,3.219961
25.200,3.212490
25.300,3.213123
25.400,3.213123
25.500,3.211561
25.600,3.215098
25.800,3.216274
25.900,3.211569
26.000,3.210392
26.100,3.210098
26.300,3.212525
26.400,3.210631
26.500,3.210158
26.600,3.215079
26.800,3.215635
26.900,3.216409
27.000,3.216602
27.100,3.211651
27.300,3.220413
27.400,3.217603
27.500,3.226901
27.600,3.216725
27.700,3.218363
27.800,3.219181
27.900,3.219591
28.000,3.212398
28.100,3.210599
28.300,3.212650
28.400,3.213162
28.500,3.210395
28.700,3.210099
28.800,3.217525
28.900,3.211881
29.000,3.217970
29.100,3.218985
29.200,3.219746
29.400,3.224968
29.500,3.228742
29.600,3.234371
29.800,3.238593
29.900,3.239648
30.000,3.244912
30.100,3.244364
30.300,3.248591
30.400,3.244296
30.500,3.248574
30.600,3.247143
30.800,3.244286
30.900,3.248571
31.000,3.252143
31.100,3.250536
31.200,3.255268
31.300,3.256317
31.400,3.254079
31.500,3.257040
31.600,3.254260
31.800,3.253565
31.900,3.253391
32.000,3.250848
32.100,3.250424
32.200,3.255212
32.300,3.258803
32.400,3.259701
32.500,3.259925
32.600,3.262481
32.800,3.260620
32.900,3.262655
33.000,3.260664
33.100,3.260166
33.300,3.265041
33.400,3.263760
33.500,3.265940
33.600,3.266485
33.800,3.260811
33.900,3.260203
34.000,3.265101
34.100,3.263775
34.300,3.266888
34.400,3.254222
34.500,3.253028
34.600,3.245757
34.700,3.245757
34.800,3.238939
34.900,3.247235
35.000,3.251809
35.100,3.250452
35.200,3.257613
35.400,3.259403
35.500,3.259851
35.700,3.259963
35.800,3.254991
35.900,3.257495
36.000,3.264687
36.100,3.261172
36.300,3.262793
36.400,3.264099
36.500,3.262050
36.600,3.260512
36.800,3.260256
36.900,3.260064
37.000,3.260016
37.100,3.270004
37.300,3.266251
37.400,3.274063
37.500,3.276016
37.600,3.279004
37.800,3.279751
37.900,3.282438
38.000,3.281219
38.100,3.280305
38.200,3.280152
38.300,3.280038
38.400,3.280019
38.500,3.292505
38.600,3.285626
38.800,3.281407
38.900,3.282676
39.000,3.288169
39.100,3.288169
39.200,3.284542
39.300,3.287271
39.400,3.289318
39.500,3.289829
39.600,3.289957
39.800,3.289989
39.900,3.289999
40.000,3.295000
40.200,3.291250
40.300,3.290625
40.400,3.290078
40.500,3.290039
40.600,3.290010
40.800,3.286251
40.900,3.293126
41.000,3.290781
41.100,3.290195
41.300,3.292549
41.400,3.290637
41.500,3.290159
41.600,3.290040
41.700,3.290020
41.800,3.290010
41.900,3.290002
42.000,3.292501
42.100,3.295625
42.300,3.298906
42.400,3.292227
42.500,3.298057
42.600,3.294028
42.700,3.291007
42.800,3.290504
42.900,3.292626
43.000,3.291313
43.100,3.295328
43.300,3.293832
43.400,3.296729
43.500,3.296682
43.700,3.299171
43.800,3.297293
43.900,3.296823
44.000,3.299206
44.100,3.299801
44.300,3.299950
44.400,3.294988
44.500,3.298747
44.600,3.299373
44.800,3.299922
44.900,3.299980
45.000,3.299995
45.100,3.299999
45.200,3.299999
45.300,3.297500
45.400,3.299375
45.500,3.294687
45.600,3.293672
45.800,3.295918
45.900,3.293979
46.000,3.291747
