tempo,tensao
0.100,0.100038
0.200,0.100010
0.400,0.100005
0.500,0.115001
0.600,0.119375
0.800,0.172344
0.900,1.068086
1.000,2.184043
1.100,3.021011
1.200,3.230253
1.400,2.346282
1.500,1.901570
1.600,2.040785
1.700,2.040785
1.800,2.150196
1.900,2.130049
2.000,2.792512
2.100,3.173128
2.200,3.268282
2.400,3.292071
2.500,3.299009
2.600,3.299752
2.700,3.299938
2.900,3.299969
3.000,3.299992
3.100,3.299998
3.200,1.587500
3.400,0.543437
3.500,0.541719
3.600,0.582930
3.700,0.340732
3.900,0.435183
4.000,0.436898
4.100,0.608449
4.300,0.581056
4.400,0.610528
4.500,0.512632
4.600,0.368158
4.800,0.257040
4.900,0.211760
5.000,0.296470
5.100,0.296470
5.200,0.271617
5.300,0.302904
5.400,0.291452
5.500,0.232863
5.600,0.210716
5.800,0.265179
5.900,0.218147
6.000,0.282037
6.200,0.291018
6.300,0.352755
6.400,0.339094
6.500,0.384774
6.600,0.422387
6.800,0.285597
6.900,0.323899
7.000,0.245975
7.100,0.301494
7.300,0.365373
7.400,0.346343
7.500,0.386586
7.600,0.459146
7.700,0.569573
7.800,1.177393
7.900,0.883697
8.000,0.638424
8.100,0.482106
8.300,0.305527
8.400,0.223882
8.500,0.573470
8.600,1.176735
8.700,2.238368
8.800,3.034592
8.900,3.233648
9.000,0.812956
9.200,0.812956
9.300,0.247869
9.400,0.354467
9.500,0.261117
9.600,0.261117
9.700,0.162779
9.800,0.188195
9.900,0.172049
10.000,0.168012
10.200,0.117003
10.300,0.131751
10.400,0.240875
10.600,0.312609
10.700,0.300652
10.800,0.355163
10.900,0.528791
11.100,0.334698
11.200,0.408087
11.300,0.424522
11.400,0.521130
11.600,0.370283
11.700,0.250141
11.900,0.391268
12.000,0.467817
12.100,0.496954
12.200,0.544239
12.300,0.518560
12.500,0.462140
12.600,0.378035
12.700,0.267009
12.800,0.193504
12.900,0.156752
13.000,0.138376
13.100,0.177094
13.200,0.276774
13.300,0.191693
13.500,0.278962
13.600,0.374740
13.800,0.898685
13.900,2.699671
14.000,3.149918
14.100,3.262479
14.200,3.281240
14.300,3.295310
14.500,3.299414
14.600,3.299853
14.700,3.299927
14.800,3.299982
15.000,3.299995
15.100,3.299999
15.200,3.300000
15.300,3.300000
15.400,3.300000
15.500,3.300000
15.600,3.300000
15.700,3.300000
15.800,3.300000
16.000,3.300000
16.100,3.300000
16.200,3.300000
16.300,3.300000
16.400,3.300000
16.500,3.300000
16.600,3.300000
16.700,3.300000
16.800,3.300000
