tempo,tensao
0.100,1.064492
0.200,0.813623
0.400,1.164203
0.600,1.002101
0.700,0.435525
0.800,0.391381
0.900,0.387845
1.000,0.381961
1.100,0.450490
1.300,1.081311
1.400,0.952828
1.500,0.831414
1.700,0.745353
1.800,0.536338
1.900,0.583169
2.000,0.950792
2.100,0.615099
2.200,0.615099
2.300,0.396275
2.400,0.381569
2.500,0.677892
2.600,1.189473
2.800,2.129868
2.900,1.902467
3.000,0.778117
3.100,0.778117
3.200,0.394529
3.300,0.327265
3.400,0.266816
3.500,0.214204
3.700,0.644276
3.800,2.563569
3.900,3.115892
4.000,3.253973
4.100,3.276987
4.200,3.113493
4.300,2.223373
4.400,1.976687
4.500,1.829172
4.600,0.789793
4.800,0.499948
4.900,0.848744
5.100,1.289686
5.200,1.229921
5.300,2.619980
5.400,3.129995
5.500,3.257499
5.700,3.278749
5.900,1.369844
6.000,0.743730
6.200,0.821716
6.300,0.855858
6.500,2.186746
6.700,3.021686
6.800,3.230422
7.000,3.282605
7.100,2.517826
7.300,0.742228
7.400,0.681114
7.500,0.497779
7.600,0.486945
7.800,0.414236
7.900,0.923559
8.000,2.705890
8.100,3.002945
8.200,3.225736
8.400,3.281434
8.500,3.255359
8.600,1.626340
8.700,0.804085
8.900,0.429261
9.000,0.272315
9.100,0.238079
9.200,0.229039
9.300,0.484760
9.500,1.556190
9.600,2.864047
9.700,3.191012
9.800,3.245506
9.900,3.272753
10.000,3.293188
10.100,1.865797
10.200,0.706449
10.400,0.529112
10.500,0.294778
10.600,0.248695
10.800,0.329674
10.900,0.577418
11.000,2.314355
11.100,3.053589
11.200,3.238397
11.400,3.284599
11.500,2.428075
11.600,1.142019
11.700,0.851009
11.900,1.165252
12.000,0.893813
12.100,0.538453
12.200,0.254613
12.400,0.166153
12.500,0.236538
12.600,0.356635
12.700,0.289159
12.900,0.214790
13.000,0.188697
13.100,0.192174
13.200,0.226087
13.300,0.258044
13.400,0.297011
13.500,0.349253
13.600,0.339813
13.700,0.354907
13.900,0.794363
14.000,1.806091
14.100,2.926523
14.200,3.206631
14.400,1.244158
14.500,0.488539
14.600,0.277135
14.700,0.248567
14.900,0.232321
15.000,0.248080
15.100,0.267020
15.300,0.310878
15.400,0.355439
15.500,0.373860
15.600,0.370965
15.800,0.447741
15.900,0.559435
16.000,0.417359
16.100,0.417359
16.200,0.306840
16.300,0.361710
16.400,0.862927
16.500,0.768232
16.600,1.329558
16.800,2.499889
16.900,2.244972
17.000,1.711243
17.100,0.962811
17.300,0.676405
17.400,0.434101
17.500,0.321763
17.600,0.337941
17.800,0.479485
17.900,0.699871
18.000,1.089968
18.100,1.379992
18.300,1.244996
18.400,1.126249
18.500,1.334062
18.600,0.806016
18.700,0.653008
18.800,0.488252
18.900,0.332063
19.000,0.295516
19.100,0.307758
19.300,0.719720
19.400,1.267430
19.500,1.463715
19.700,2.085929
19.800,2.171482
19.900,2.100741
20.000,1.980185
20.100,0.715023
20.300,0.483756
20.400,0.396719
20.500,0.509180
20.600,0.634795
20.800,0.842397
20.900,1.000599
21.000,0.530150
21.100,0.432537
21.300,0.470634
21.400,0.833829
21.500,0.460957
21.600,0.395479
21.800,0.381370
21.900,0.680342
22.000,1.317586
22.100,1.544396
22.300,1.361099
22.400,1.167775
22.500,1.374444
22.600,0.936111
22.700,0.771528
22.900,0.467882
23.000,0.601970
23.100,0.585493
23.200,1.907746
23.300,1.038873
23.400,0.537218
23.500,0.964305
23.600,1.931076
23.800,2.957769
23.900,2.219442
24.000,0.912361
24.100,0.576180
24.200,0.329045
24.300,0.394523
24.400,0.491131
24.500,0.375565
24.600,0.363891
24.800,1.336736
24.900,2.111684
25.000,1.725842
25.100,1.725842
25.200,0.649480
25.300,0.281185
25.400,0.322796
25.600,0.470350
25.700,0.360175
25.900,0.280044
26.000,0.310022
26.100,0.956253
26.200,1.361563
26.300,0.555391
26.500,0.356924
26.600,0.488462
26.700,2.072115
26.800,1.893029
27.000,0.825757
27.100,0.517879
27.200,0.406970
27.300,1.279242
27.500,3.047405
27.600,3.236851
27.700,2.189213
27.900,0.799803
28.000,0.419951
28.100,0.277488
28.200,0.284372
28.400,0.426093
28.500,0.634023
28.600,0.778506
28.700,0.494626
28.900,0.338657
29.000,0.442164
29.100,1.510541
29.200,2.852635
29.300,3.076318
29.400,2.863159
29.500,1.233290
29.600,1.796645
29.700,0.589161
29.900,0.627290
30.000,1.671823
30.100,0.681478
30.300,0.457869
30.400,1.066967
30.500,2.559242
30.600,1.627310
30.700,1.879328
30.800,1.089664
31.000,1.429958
31.200,2.907495
31.300,1.419374
31.500,0.849843
31.600,1.112461
31.700,2.745615
31.800,3.230702
31.900,3.230702
32.000,2.132675
32.100,1.426338
32.200,0.756584
32.300,0.644146
32.500,2.178537
32.600,1.449634
32.700,0.732409
32.800,0.661204
32.900,1.030602
33.000,2.732651
33.100,2.893163
33.200,1.000791
33.400,0.522698
33.500,0.420674
