tempo,tensao
0.100,3.294780
0.200,3.298695
0.300,3.299348
0.500,3.299837
0.600,3.299980
0.800,3.299995
0.900,3.299999
1.000,3.300000
1.100,1.925000
1.200,0.876250
1.300,0.481562
1.500,0.135195
1.600,0.172598
1.700,0.336299
1.800,1.701575
2.000,2.900394
2.100,3.200098
2.200,3.287512
2.400,1.263439
2.500,0.731720
2.600,0.250430
2.700,0.135107
2.800,0.397554
3.000,0.921888
3.100,1.715472
3.200,2.507736
3.300,3.101934
3.400,3.250484
3.500,1.870121
3.700,1.351265
3.800,1.195316
3.900,0.518829
4.100,0.239707
4.200,0.364854
4.300,2.051213
4.400,2.987803
4.500,3.221951
4.600,2.910975
4.700,1.887744
4.800,0.819436
4.900,0.507359
5.000,0.308679
5.200,0.302335
5.300,0.318084
5.400,0.439042
5.500,1.084521
5.600,2.192260
5.700,3.023065
5.800,3.230766
5.900,3.282692
