tempo,tensao
0.100,0.000000
0.200,0.000000
0.400,0.000000
0.500,0.000000
0.700,0.000000
0.800,0.000000
0.900,0.000000
1.000,0.040000
1.100,0.067500
1.200,0.459375
1.400,0.619844
1.600,0.662480
1.700,0.675620
1.800,0.608905
1.900,0.649453
2.000,0.659863
2.100,0.684932
2.200,0.791233
2.300,0.830308
2.400,0.852577
2.600,0.826289
2.700,0.837036
2.800,0.861759
3.000,0.852940
3.100,0.905735
3.200,1.026434
3.300,1.244108
3.400,1.288527
3.600,1.347316
3.700,1.353658
3.800,1.450914
3.900,1.470457
4.100,1.515114
4.200,1.578139
4.300,1.634535
4.400,1.796134
4.500,1.863067
4.600,1.951533
4.700,2.097883
4.900,2.261743
5.000,2.355871
5.100,2.386468
5.200,2.388234
5.400,2.397058
5.500,2.416765
5.600,2.369596
5.700,2.349899
5.800,2.349899
5.900,2.357475
6.000,2.389369
6.100,2.454842
6.200,2.477421
6.400,2.639355
6.500,2.422339
6.600,2.585585
6.700,2.277792
6.800,1.046948
6.900,0.734619
7.100,0.286155
7.200,0.071539
7.300,0.017885
7.400,0.004471
7.600,0.002236
7.700,0.000559
7.800,0.000140
7.900,0.000035
8.000,0.000017
8.100,0.000004
8.200,0.000001
8.300,0.000001
8.400,0.000000
8.600,0.000000
8.700,0.000000
8.800,0.000000
8.900,0.000000
9.000,0.000000
9.100,0.000000
9.200,0.000000
9.300,0.000000
