tempo,tensao,forca
25.030,3.181232,1.945400
25.130,3.200308,1.973227
25.230,3.205077,2.010880
25.330,3.207539,2.034042
25.430,3.207539,2.083756
25.530,3.210942,2.148167
25.630,3.210236,2.270286
25.730,3.210059,2.408000
25.930,3.207507,2.361000
26.130,3.209377,2.244400
26.230,3.219961,2.254780
26.430,3.212490,2.310520
26.530,3.213123,2.282060
26.630,3.213123,2.258697
26.730,3.211561,2.218310
26.830,3.215098,2.189520
27.030,3.216274,2.182880
27.130,3.211569,2.178160
27.230,3.210392,2.199848
27.330,3.210098,2.249000
27.530,3.212525,2.310200
27.630,3.210631,2.264143
27.730,3.210158,2.223120
27.830,3.215079,2.229706
28.030,3.215635,2.265100
28.130,3.216409,2.237722
28.230,3.216602,2.230140
28.330,3.211651,2.227060
28.530,3.220413,2.242900
28.630,3.217603,2.244960
28.730,3.226901,2.227360
28.830,3.216725,2.226020
28.930,3.218363,2.217180
29.030,3.219181,2.283636
29.130,3.219591,2.365421
29.230,3.212398,2.377400
29.330,3.210599,2.341500
29.530,3.212650,2.333000
29.630,3.213162,2.329756
29.730,3.210395,2.286500
29.930,3.210099,2.215880
30.030,3.217525,2.220745
30.130,3.211881,2.243760
30.230,3.217970,2.256400
30.330,3.218985,2.265040
30.430,3.219746,2.265600
30.630,3.224968,2.341167
30.730,3.228742,2.389829
30.830,3.234371,2.427857
31.030,3.238593,2.535000
31.130,3.239648,2.624545
31.230,3.244912,2.685600
31.330,3.244364,2.724083
31.530,3.248591,2.818583
31.630,3.244296,2.843200
31.730,3.248574,2.877840
31.830,3.247143,2.903937
32.030,3.244286,2.935000
32.130,3.248571,2.946600
32.230,3.252143,2.960800
32.330,3.250536,2.974860
32.430,3.255268,2.962921
32.530,3.256317,2.927091
32.630,3.254079,2.903720
32.730,3.257040,3.008500
32.830,3.254260,3.050700
33.030,3.253565,3.108380
33.130,3.253391,3.094263
33.230,3.250848,3.049370
33.330,3.250424,2.992742
33.430,3.255212,2.956000
33.530,3.258803,2.960000
33.630,3.259701,2.941000
33.730,3.259925,2.952000
33.830,3.262481,2.970000
34.030,3.260620,3.063912
34.130,3.262655,3.075900
34.230,3.260664,3.083240
34.330,3.260166,3.092800
34.530,3.265041,3.109040
34.630,3.263760,3.116120
34.730,3.265940,3.146049
34.830,3.266485,3.174440
35.030,3.260811,3.211120
35.130,3.260203,3.204162
35.230,3.265101,3.176660
35.330,3.263775,3.161600
35.530,3.266888,3.160300
35.630,3.254222,3.146120
35.730,3.253028,3.110037
35.830,3.245757,3.072000
35.930,3.245757,3.037727
36.030,3.238939,2.986474
36.130,3.247235,2.931000
36.230,3.251809,2.851000
36.330,3.250452,2.740000
36.430,3.257613,2.667455
36.630,3.259403,2.692000
36.730,3.259851,2.747952
36.930,3.259963,2.912000
37.030,3.254991,2.962917
37.130,3.257495,2.981440
37.230,3.264687,2.983000
37.330,3.261172,2.994840
37.530,3.262793,3.000080
37.630,3.264099,3.007400
37.730,3.262050,3.001800
37.830,3.260512,2.999000
38.030,3.260256,3.029600
38.130,3.260064,3.017200
38.230,3.260016,3.000400
38.330,3.270004,2.962158
38.530,3.266251,2.918000
38.630,3.274063,2.940638
38.730,3.276016,2.973687
38.830,3.279004,3.097111
39.030,3.279751,3.351000
39.130,3.282438,3.478154
39.230,3.281219,3.517200
39.330,3.280305,3.525240
39.430,3.280152,3.534234
39.530,3.280038,3.571143
39.630,3.280019,3.607960
39.730,3.292505,3.630120
39.830,3.285626,3.667103
40.030,3.281407,3.830692
40.130,3.282676,3.935750
40.230,3.288169,3.978140
40.330,3.288169,3.985581
40.430,3.284542,4.011280
40.530,3.287271,4.015120
40.630,3.289318,3.998080
40.730,3.289829,3.973600
40.830,3.289957,3.869875
41.030,3.289989,3.809100
41.130,3.289999,3.851121
41.230,3.295000,3.906059
41.430,3.291250,3.989688
41.530,3.290625,4.041769
41.630,3.290078,4.058600
41.730,3.290039,4.085800
41.830,3.290010,4.103400
42.030,3.286251,4.133125
42.130,3.293126,4.154700
42.230,3.290781,4.142529
42.330,3.290195,4.128000
42.530,3.292549,4.183111
42.630,3.290637,4.196000
42.730,3.290159,4.221340
42.830,3.290040,4.236556
42.930,3.290020,4.183222
43.030,3.290010,4.139727
43.130,3.290002,4.101727
43.230,3.292501,4.034455
43.330,3.295625,4.013760
43.530,3.298906,4.059786
43.630,3.292227,4.131200
43.730,3.298057,4.128760
43.830,3.294028,4.138160
43.930,3.291007,4.128818
44.030,3.290504,4.088880
44.130,3.292626,4.107000
44.230,3.291313,4.152211
44.330,3.295328,4.209889
44.530,3.293832,4.202960
44.630,3.296729,4.202000
44.730,3.296682,4.235667
44.930,3.299171,4.335400
45.030,3.297293,4.315300
45.130,3.296823,4.367857
45.230,3.299206,4.460167
45.330,3.299801,4.502980
45.530,3.299950,4.503380
45.630,3.294988,4.496260
45.730,3.298747,4.497979
45.830,3.299373,4.526476
46.030,3.299922,4.624070
46.130,3.299980,4.651120
46.230,3.299995,4.662680
46.330,3.299999,4.686000
46.430,3.299999,4.610300
46.530,3.297500,4.555400
46.630,3.299375,4.537478
46.730,3.294687,4.505581
46.830,3.293672,4.446667
47.030,3.295918,4.258800
47.130,3.293979,4.239940
47.230,3.291747,4.239420
47.330,3.291747,4.246540
47.430,3.295437,4.256320
47.530,3.293859,4.281588
47.630,3.296930,4.323455
47.730,3.298366,4.351333
47.830,3.299592,4.368040
48.030,3.299796,4.368540
48.130,3.292474,4.383980
48.230,3.296237,4.426323
48.330,3.299059,4.385000
48.530,3.292265,4.205920
48.630,3.290566,4.197657
48.730,3.285142,4.152872
48.830,3.281285,4.083222
49.030,3.286411,3.736333
49.130,3.281603,3.618806
49.230,3.280801,3.546000
49.330,3.272700,3.435200
49.530,3.270675,3.348167
49.630,3.267669,3.321920
49.730,3.266917,3.244000
49.830,3.266729,3.093000
49.930,3.268365,3.085440
50.030,3.264591,3.059824
50.130,3.262296,3.000294
50.230,3.253074,2.964200
50.330,3.248268,2.921000
50.530,3.244567,2.800000
50.630,3.251142,2.654200
50.730,3.245285,2.575844
50.830,3.245285,2.474200
50.930,3.243821,2.475500
51.030,3.240955,2.547222
51.130,3.237739,2.547647
51.230,3.224435,2.517872
51.330,3.221109,2.523250
51.530,3.217777,2.271640
51.630,3.219722,2.261077
51.730,3.224861,2.153053
51.930,3.213715,2.172940
52.030,3.211858,2.113000
52.130,3.210232,2.070960
52.230,3.202558,2.067680
52.330,3.200640,2.012000
52.530,3.192580,1.956180
52.630,3.196290,1.945660
52.730,3.189072,1.894444
52.830,3.182268,1.867520
53.030,3.168067,1.808571
53.130,3.174034,1.744300
53.230,3.163508,1.710385
53.330,3.153377,1.670348
53.430,3.151689,1.597143
53.530,3.150422,1.562960
53.630,3.137606,1.548793
53.730,3.141901,1.512333
53.830,3.142975,1.500900
54.030,3.140744,1.440333
54.130,3.147686,1.392360
54.230,3.134421,1.410180
54.330,3.134421,1.418580
54.430,3.138605,1.398140
54.530,3.129303,1.406136
54.630,3.117326,1.411610
54.730,3.095916,1.352125
54.830,3.097958,1.324280
55.030,3.073495,1.271933
55.130,3.068374,1.212780
55.230,3.069593,1.221609
55.430,3.072398,1.170500
55.530,3.053100,1.125929
55.630,3.046550,1.110280
55.730,3.041637,1.110000
55.830,3.010409,1.102160
56.030,3.026301,1.054480
56.130,3.031575,1.039000
56.230,3.042894,1.033485
56.330,3.051447,0.993000
56.530,3.040181,0.993440
56.630,3.025045,1.001000
56.730,3.021261,1.029714
56.830,3.025631,1.052560
56.930,3.022815,1.044000
57.030,3.011408,1.026100
57.130,3.002852,0.990087
57.230,2.995713,0.966600
57.330,2.943928,0.983000
57.530,2.923482,0.932080
57.630,2.908371,0.940500
57.730,2.927093,0.912129
57.830,2.938546,0.838000
57.930,2.954637,0.799310
58.030,2.936159,0.805980
58.130,2.933080,0.792980
58.230,2.920770,0.811107
58.330,2.912692,0.851200
58.530,2.885673,0.821500
58.630,2.815709,0.800960
58.730,2.811427,0.789200
58.930,2.800714,0.750960
59.030,2.762678,0.730440
59.130,2.775670,0.687400
59.230,2.803917,0.650880
59.330,2.801959,0.692763
59.530,2.826495,0.597893
59.630,2.824124,0.655429
59.730,2.831031,0.688674
59.830,2.837758,0.694620
60.030,2.819439,0.718340
60.130,2.819860,0.702820
60.230,2.827465,0.694060
60.330,2.769366,0.697320
60.430,2.764683,0.712133
60.530,2.773671,0.668250
60.630,2.761835,0.693200
60.730,2.735918,0.734320
60.830,2.721479,0.684200
61.030,2.672685,0.651500
61.130,2.575671,0.617867
61.230,2.536418,0.593920
61.330,2.536418,0.597880
61.430,2.559104,0.593960
61.530,2.582276,0.555634
61.630,2.623069,0.514680
61.730,2.638267,0.509780
61.830,2.644134,0.506140
62.030,2.676033,0.526857
62.130,2.664504,0.558327
62.230,2.633626,0.567220
62.430,2.605907,0.584698
62.530,2.603977,0.583120
62.630,2.595994,0.567120
62.730,2.573999,0.538108
62.830,2.493500,0.532240
63.030,2.524187,0.525820
63.130,2.524187,0.519420
63.230,2.368547,0.526520
63.330,2.424637,0.482707
63.530,2.483659,0.488426
63.630,2.343415,0.452000
63.730,2.335854,0.420200
63.930,2.399482,0.490810
64.030,2.329870,0.443234
64.130,2.267468,0.402667
64.230,2.386867,0.412400
64.330,2.458433,0.440000
64.530,2.454608,0.397000
64.630,2.356152,0.391200
64.730,2.281538,0.410957
64.830,2.265769,0.479500
64.930,2.266442,0.486560
65.030,2.108221,0.431467
65.130,2.082055,0.400480
65.230,2.058014,0.382760
65.330,1.984503,0.381280
65.530,1.934313,0.349420
65.630,1.972156,0.363100
65.730,2.100539,0.356654
65.930,2.095135,0.352740
66.030,2.048784,0.341700
66.130,2.129696,0.351300
66.230,2.174924,0.383780
66.330,2.188731,0.378286
66.530,2.211091,0.360474
66.630,2.017773,0.379840
66.730,1.941943,0.390120
66.830,1.905972,0.401160
67.030,1.843993,0.393000
67.130,1.978498,0.373233
67.230,2.034625,0.358160
67.330,2.088656,0.360100
67.430,2.094328,0.345420
67.530,2.057164,0.338720
67.630,1.829291,0.359320
67.730,1.822323,0.359080
67.830,1.708081,0.360460
68.030,1.674520,0.342960
68.130,1.523630,0.326700
68.230,1.501815,0.324820
68.330,1.565908,0.309420
68.430,1.716477,0.310100
68.530,1.681619,0.306900
68.630,1.835405,0.281100
68.730,1.986351,0.285660
68.830,1.984088,0.293729
69.030,1.921022,0.314191
69.130,1.756378,0.340360
69.230,1.686594,0.358240
69.430,1.698297,0.341560
69.530,1.579149,0.335440
69.630,1.477287,0.334394
69.730,1.426822,0.313080
69.830,1.334205,0.317580
70.030,1.506776,0.277340
70.130,1.506694,0.280720
70.230,1.529173,0.271267
70.330,1.584793,0.274800
70.530,1.606198,0.284500
70.630,1.594050,0.291500
70.730,1.582025,0.293000
70.830,1.575506,0.299500
70.930,1.522753,0.309500
71.030,1.385688,0.301500
71.130,1.136422,0.291500
71.230,0.948211,0.291500
71.330,1.007276,0.297500
71.530,1.144319,0.290500
71.630,1.308580,0.258000
71.730,1.079645,0.253000
71.830,1.169822,0.254000
71.930,1.249911,0.245000
72.030,1.144956,0.251000
72.130,1.133739,0.250000
72.230,1.088435,0.258000
72.330,0.999609,0.260000
72.530,1.017402,0.261000
72.630,0.860925,0.286000
72.830,0.650231,0.257000
72.930,0.522558,0.264000
73.030,0.670639,0.271000
73.130,0.970160,0.265000
73.230,1.230080,0.263000
73.330,1.702520,0.233400
73.530,1.984065,0.243440
73.630,1.838516,0.256250
73.730,1.724258,0.311065
73.830,1.433565,0.365405
74.030,1.113391,0.416440
74.130,1.008348,0.378000
74.230,0.727087,0.338585
74.330,0.239272,0.320800
74.430,0.119636,0.284146
74.530,0.059818,0.274080
74.630,0.014954,0.278680
74.730,0.003739,0.255030
74.830,0.000935,0.218280
75.030,0.000234,0.198760
75.130,0.000058,0.192160
75.230,0.000015,0.171520
75.330,0.000007,0.160800
75.430,0.000002,0.179600
75.530,0.000000,0.170000
75.630,0.000000,0.169800
75.730,0.000000,0.164800
75.830,0.000000,0.159680
76.030,0.000000,0.144267
76.130,0.000000,0.110760
76.330,0.000000,0.050941
76.430,0.000000,0.024260
76.530,0.000000,0.006500
76.630,0.000000,0.006880
76.730,0.000000,0.009720
76.830,0.000000,0.001400
77.030,0.000000,0.000000
77.130,0.000000,0.000000
77.230,0.000000,0.000000
77.330,0.000000,0.000000
77.530,0.000000,0.000000
77.630,0.000000,0.000000
77.730,0.000000,0.000000
77.830,0.000000,0.000000
77.930,0.000000,0.000000
78.030,0.000000,0.000000
78.130,0.000000,0.000000
78.230,0.000000,0.000000
78.330,0.000000,0.000000
78.530,0.000000,0.000000
78.630,0.000000,0.000000
78.730,0.000000,0.000000
78.830,0.000000,0.000000
78.930,0.000000,0.000000
79.030,0.000000,0.000000
79.130,0.000000,0.000000
79.230,0.000000,0.000000
79.330,0.000000,0.000000
79.530,0.000000,0.000000
79.730,0.000000,0.000000
79.830,0.000000,0.000000
79.930,0.000000,0.000000
80.030,0.000000,0.000000
80.130,0.000000,0.000000
80.230,0.000000,0.000000
80.330,0.000000,0.000000
80.430,0.000000,0.000000
80.530,0.000000,0.000000
80.730,0.000000,0.000000
80.830,0.000000,0.000000
80.930,0.000000,0.000000
81.030,0.000000,0.000000
81.230,0.000000,0.000000
81.330,0.000000,0.000000
81.430,0.000000,0.000000
81.530,0.000000,0.000000
81.730,0.000000,0.000000
