tempo,tensao,forca
1.012,0.000000,0.000000
1.112,0.000000,0.000000
1.312,0.000000,0.000000
1.412,0.000000,0.000000
1.612,0.000000,0.000000
1.712,0.000000,0.000000
1.812,0.000000,0.015273
1.912,0.040000,0.467667
2.012,0.067500,1.085500
2.112,0.459375,1.723000
2.312,0.619844,2.726000
2.512,0.662480,3.438750
2.612,0.675620,3.765000
2.712,0.608905,3.988778
2.812,0.649453,4.090588
2.912,0.659863,4.171000
3.012,0.684932,4.349000
3.112,0.791233,4.557200
3.212,0.830308,4.744800
3.312,0.852577,4.897667
3.512,0.826289,5.160900
3.612,0.837036,5.348667
3.712,0.861759,5.520000
3.912,0.852940,6.051111
4.012,0.905735,6.325833
4.112,1.026434,6.501261
4.212,1.244108,6.397909
4.312,1.288527,6.414000
4.512,1.347316,6.614040
4.612,1.353658,6.606586
4.712,1.450914,6.610429
4.812,1.470457,6.663100
5.012,1.515114,6.697714
5.112,1.578139,6.744800
5.212,1.634535,6.754778
5.312,1.796134,6.814500
5.412,1.863067,6.979667
5.512,1.951533,7.131000
5.612,2.097883,7.197875
5.812,2.261743,7.522091
5.912,2.355871,7.638667
6.012,2.386468,7.787571
6.112,2.388234,7.827087
6.312,2.397058,7.846400
6.412,2.416765,7.744345
6.512,2.369596,7.809380
6.612,2.349899,7.747120
6.712,2.349899,7.770552
6.812,2.357475,7.888318
6.912,2.389369,7.961857
7.012,2.454842,8.054263
7.112,2.477421,8.132133
7.312,2.639355,8.286000
7.412,2.422339,8.021556
7.512,2.585585,7.939340
7.612,2.277792,7.737500
7.712,1.046948,4.394000
7.812,0.734619,0.581000
8.012,0.286155,0.000000
8.112,0.071539,0.000000
8.212,0.017885,0.000000
8.312,0.004471,0.000000
8.512,0.002236,0.000000
8.612,0.000559,0.000000
8.712,0.000140,0.000000
8.812,0.000035,0.000000
8.912,0.000017,0.000000
9.012,0.000004,0.000000
9.112,0.000001,0.000000
9.212,0.000001,0.000000
9.312,0.000000,0.000000
9.512,0.000000,0.000000
9.612,0.000000,0.000000
9.712,0.000000,0.000000
9.812,0.000000,0.000000
9.912,0.000000,0.000000
10.012,0.000000,0.000000
10.112,0.000000,0.000000
10.212,0.000000,0.000000
